Rnom,Xnom,Ynom,Znom,R,X,Y,Z,Nx,Ny,Nz,I,J,K,LateralDensity,DirectionDensity,ExposureTime,oriX,oriY,oriZ,Inc,ang,ViewAng,Acmos,AcmosJ,oriYcmos,Rs,PointDev
8.0013,-5.186011976763727,-3.67241591838288,4.862041010652957,7.947929358952557,-5.15142,-3.64792,4.82961,-0.6398317179501745,-0.4486492773723953,0.6239624977658159,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.639913,-0.449879,-0.376037,0.6233582784156462,5.385418759403251,0.3568209077497596,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.9497136378008376,85.13795898934704,-0.0533706410474437
8.0013,1.8650989556713928,-1.576666953637934,7.619470381388694,8.002076682643075,1.86528,-1.57682,7.62021,0.2340965238818131,-0.2020818101729922,0.9509793686004226,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.234015,-0.203311,-0.04902,0.9507492640549065,0.3151526121381329,0.7597087912259286,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.7031461706014344,82.3805296186113,0.0007766826430746
8.0013,-1.9939431749301917,-1.8654938152513565,7.520965704642474,7.9795378705097955,-1.98852,-1.86042,7.50051,-0.2442401767222787,-0.2061068784717052,0.947558278271748,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.244322,-0.207336,-0.052441,0.9472842509829836,5.957039504346055,0.7548122018518261,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.7071712389001474,82.47903429535752,-0.021762129490205
8.0013,0.4826764542574799,3.2142139626602795,7.31140572891049,7.966613505345668,0.480584,3.20028,7.27971,0.0929291814938146,0.4218769921396829,0.9018780243082006,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.092848,0.420648,-0.098121,0.9024036055183542,0.4454807621984167,0.9953176263669036,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.0791873682887592,82.68859427108951,-0.0346864946543323
8.0013,5.47018941975654,2.8967993509183554,5.070146242713579,7.97583507006633,5.45278,2.88758,5.05401,0.6829099462076356,0.3554925083635701,0.6381685371969236,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.682828,0.354263,-0.36183,0.638660773230962,0.878039551208776,0.7298535880135715,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.145571852064872,84.92985375728642,-0.02546492993367
8.0013,-1.7150282956757408,1.7157877236989028,7.6246673450214,8.007326322618557,-1.71632,1.71708,7.63041,-0.2208341797240235,0.2102975960929671,0.9523692488437124,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.220916,0.209068,-0.04763,0.9526090903664904,0.3090957667219471,0.9456539558398744,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.290766764335475,82.37533265497859,0.0060263226185561
8.0013,-2.4158191628428924,4.723216098133938,5.989645160839621,7.96718871678712,-2.40552,4.70308,5.96411,-0.2968022784412323,0.5996254919506167,0.7432076943325292,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.296884,0.598396,-0.256791,0.7439201793607999,0.731878166794925,0.9330575475208812,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,0.0985611315221745,84.01035483916039,-0.03411128321288
8.0013,-4.27653374841166,-1.5643213826149982,6.579130596103836,7.97208702226713,-4.26092,-1.55861,6.55511,-0.5372302512631671,-0.2034266001082911,0.8185360563201206,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.537312,-0.204656,-0.181463,0.8182415484914564,5.670734505794876,0.6406397474320493,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.7044909605367333,83.42086940389616,-0.02921297773287
8.0013,0.0554537790892999,-0.0772124155587148,8.000735266915681,7.991174018390855,0.0553836,-0.0771147,7.99061,0.0028984022304428,-0.0201242279800733,0.9997932859910176,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.002817,-0.021354,-0.000206,0.9997680206336752,0.0215398449805707,0.8848462973301565,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.5211885884085155,81.99926473308432,-0.0101259816091454
8.0013,-5.2306343344962265,1.14126709120408,5.946324543390127,7.931982674142701,-5.18532,1.13138,5.89481,-0.6467383194111643,0.1439440568919885,0.7490057774748461,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.64682,0.142715,-0.250993,0.7491294881787472,0.7240489675710874,0.7340818896177418,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.3571203035364536,84.05367545660987,-0.0693173258572992
8.0013,-2.487556372349444,3.236822891830789,6.8815581485085096,7.932992568671673,-2.46632,3.20919,6.82281,-0.3098818622139863,0.4048697654309908,0.8602637412506973,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.309963,0.40364,-0.139735,0.8607356213702656,0.5340834350029725,0.9504643827390232,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.0961945949974513,83.1184418514915,-0.0683074313283276
8.0013,-1.759530157377619,-0.0719003587619114,7.805106383239668,7.969421960291299,-1.75252,-0.0716139,7.77401,-0.2306490377747014,-0.0138753156393706,0.9729380745913444,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.230731,-0.015105,-0.027061,0.972901482330628,0.2333314762665684,0.8636188445837506,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.5149396760678129,82.19489361676034,-0.0318780397087019
8.0013,0.6081226296050452,6.199490493068876,5.021683600517946,7.992897308157787,0.607484,6.19298,5.01641,0.0899775749622422,0.7769516496455168,0.6230972396962005,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.089896,0.775722,-0.376902,0.6240593528794257,0.8968696409644217,0.9051391430927072,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,0.2758872892170746,84.97831639948205,-0.008402691842213
8.0013,2.305865826558504,-1.5871517883273332,7.495647649184093,7.9572804812259825,2.29318,-1.57842,7.45441,0.2825120298076707,-0.1982344854102312,0.9385574259511724,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.282431,-0.199464,-0.061442,0.9383360061499794,5.930174490085793,0.7503300350796743,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.6992988458386733,82.5043523508159,-0.0440195187740179
8.0013,-1.9132450918883983,-0.6700117893876641,7.740244124731888,7.979866573670828,-1.90812,-0.668217,7.71951,-0.2423882514468931,-0.092480832130509,0.965761477409907,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.24247,-0.09371,-0.034238,0.96562728932506,0.2629503300792994,0.8219884700230569,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.5935451925589512,82.25975587526811,-0.0214334263291728
8.0013,-2.578067161014697,-0.0696591250660399,7.57426689585155,7.962048218294258,-2.56542,-0.0693174,7.53711,-0.3253898528585124,-0.0082432474339755,0.9455440193499496,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.325471,-0.009473,-0.054455,0.9455066526433862,5.951535990740887,0.8416434219131267,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.5093076078624177,82.42573310414845,-0.0392517817057429
8.0013,-3.059383397451765,-5.168362054607011,5.28668219111901,7.972888620732137,-3.04852,-5.15001,5.26791,-0.3819779049670098,-0.6346093051116086,0.6718362225890885,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.382059,-0.635839,-0.328163,0.67102434168256,0.8352068577427005,0.3163355523605608,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-1.1356736655400508,84.71331780888099,-0.0284113792678635
8.0013,2.665594510427439,-4.555868095042007,6.013274773079761,8.02316881293794,2.67288,-4.56832,6.02971,0.3375983496097592,-0.5620213881304137,0.7550889441812332,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.337517,-0.563251,-0.24491,0.7544248798193689,0.7160184168818545,0.4233373169477104,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-1.0630857485588558,83.98672522692024,0.0218688129379387
8.0013,-5.73492407101907,4.727193272501418,2.963965477879832,7.971995362072158,-5.71392,4.70988,2.95311,-0.6963184406468412,0.5921960990803351,0.4055174588709906,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.6964,0.590967,-0.594482,0.4061885119050449,1.152517487567428,0.6277896387908289,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,0.0911317386518929,87.03603452212016,-0.0293046379278427
8.0013,-1.2964799981980109,-1.571784599199028,7.73753413420537,7.975009178985314,-1.29222,-1.56662,7.71211,-0.2066576483242763,-0.1896000832504122,0.9598668786975184,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.206739,-0.19083,-0.040132,0.9596161993659976,0.285161780111747,0.7732140279221836,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.6906644436788544,82.26246586579462,-0.0262908210146868
8.0013,4.935597892957104,4.102597458842448,4.778008917921448,7.964795320967137,4.91308,4.08388,4.75621,0.6188207610108309,0.5119431140869605,0.5957978798895825,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.618739,0.510714,-0.404201,0.596477280378201,0.9316913545335112,0.7620535698389334,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,0.0108787536585183,85.22199108207855,-0.0365046790328635
8.0013,3.1200590609522574,1.405926043807215,7.232524117174745,7.978273461401282,3.11108,1.40188,7.21171,0.3907572061269152,0.1868651207887479,0.9013269287514348,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.390676,0.185636,-0.098672,0.9015878336403376,0.4473700148988138,0.8895671611041972,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.3141992396396942,82.76747588282525,-0.0230265385987182
8.0013,1.291973924404248,-2.1772654331870127,7.590198963275499,7.98275838171869,1.28898,-2.17222,7.57261,0.1507597666493877,-0.2641685998726335,0.9526208288721986,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.150678,-0.265398,-0.047378,0.9523075974028316,5.97309979000381,0.7333569278472261,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.7652329603010757,82.4098010367245,-0.0185416182813105
8.0013,1.6149611428552717,4.401369648467333,6.483875956140597,7.987520870745817,1.61218,4.39379,6.47271,0.1854872849638234,0.5498931377940368,0.8143782930087083,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.185406,0.548664,-0.185621,0.8150688772125644,0.6179482470475829,0.9744436206385696,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,0.0488287773655946,83.5161240438594,-0.0137791292541837
8.0013,6.301072530093078,0.5009334025956,4.905746873481185,7.986071508251101,6.28908,0.49998,4.89641,0.7874194517672134,0.0593166667306427,0.6135569574428986,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.787338,0.058087,-0.386442,0.6136935826397631,5.373119528595754,0.5751779253402048,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.4417476936977993,85.09425312651882,-0.0152284917488998
8.0013,-3.684752855641929,1.1340555072010892,7.0112278660321365,7.957799419600874,-3.66472,1.12789,6.97311,-0.4564270446387755,0.1452220870855921,0.8778296522360234,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.456509,0.143993,-0.122169,0.8779703437023619,0.4991903265279481,0.8498427558718336,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.35584227334285,82.98877213396787,-0.0435005803991268
8.0013,-3.237838264811705,6.5368784538205125,3.287312753739485,7.955290808047183,-3.21922,6.49929,3.26841,-0.4108175922835138,0.8153811793603624,0.407900034586026,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.410899,0.814152,-0.592099,0.4088687533157904,5.133603060675335,0.7299219197631607,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,0.3143168189319202,86.71268724626051,-0.0460091919528178
8.0013,4.488504381922812,1.4071371269371322,6.472564809212406,7.941895273081861,4.45518,1.39669,6.42451,0.566043739074365,0.1733892084916641,0.805934654815976,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.565962,0.17216,-0.194064,0.8061933465815279,0.6331065961269615,0.7982579723784994,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.327675151936778,83.5274351907876,-0.0594047269181396
8.0013,-1.0014185541045093,-5.459673668902692,5.762805393086413,7.994919580014549,-1.00062,-5.45532,5.75821,-0.1295529353562253,-0.6724681924513515,0.7286992295054233,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.129634,-0.673698,-0.2713,0.727861326772085,0.7555984419248835,0.35023225093759,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-1.1735325528797935,84.23719460691359,-0.0063804199854518
8.0013,-2.5868143028161525,-1.8696472903304635,7.337139256038809,7.954920978903562,-2.57182,-1.85881,7.29461,-0.3297907822316859,-0.2251502982506432,0.9168126216150492,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.329872,-0.22638,-0.083186,0.9165082330023764,0.4115339694228797,0.7187869594623666,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.7262146586790854,82.66286074396119,-0.0463790210964383
8.0013,4.75619265317339,-3.98828315426078,5.049062350312103,7.981091221919469,4.74418,-3.97821,5.03631,0.5926694628482854,-0.4958165253660093,0.6347510385821376,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.592588,-0.497046,-0.365248,0.6341892479023707,0.8838368540800065,0.3454263970908967,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.9968808857944514,84.9509376496879,-0.0202087780805317
8.0013,-3.101467820520103,2.9283497521521493,6.769524856099484,7.969960530448064,-3.08932,2.91688,6.74301,-0.4101908567683764,0.3635735686664624,0.8363956726279486,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.410272,0.362344,-0.163603,0.8368086240636848,5.703816774687217,0.9106182565039592,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.1374907917619797,83.23047514390052,-0.031339469551936
8.0013,-0.9926508452700636,4.107907193099996,6.794155170605242,7.996182805486377,-0.992016,4.10528,6.78981,-0.1555787732780721,0.5032491414277181,0.850020909717846,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.15566,0.50202,-0.149978,0.850626327260094,0.5536208176750994,0.9853895675539616,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,0.0021847809992759,83.20584482939476,-0.0051171945136232
8.0013,6.591309263659674,-1.0056850879659924,4.423125748227943,7.956228168981832,6.55418,-1.00002,4.39821,0.8214622175748072,-0.1330455381522554,0.5545256620525842,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.821381,-0.134275,-0.445473,0.5544285985227889,0.9831197489006398,0.4362302385315039,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.6341098985806977,85.57687425177205,-0.0450718310181681
8.0013,-1.668578559900951,7.12195201162188,3.2425987762277875,7.965054595205233,-1.66102,7.08969,3.22791,-0.2175239104110773,0.8870632437364923,0.4071881015098131,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.217605,0.885834,-0.592811,0.4082607034321143,1.150248398813894,0.761411277382031,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,0.3859988833080501,86.7574012237722,-0.0362454047947675
8.0013,0.1330770819020757,-2.479962397563886,7.606107985490452,7.965640770362168,0.132484,-2.46891,7.57221,0.0213971710566174,-0.3209260073940991,0.9468625342935776,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.021316,-0.322155,-0.053136,0.9464689835942032,5.954504630714374,0.7027734201887099,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.8219903678225413,82.39389201450955,-0.0356592296378321
8.0013,0.7910596497785124,-1.2824241460468664,7.858143204989857,7.951984456496127,0.786184,-1.27452,7.80971,0.1269274081526181,-0.1497486298562441,0.9805431050779136,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.126846,-0.150978,-0.019456,0.980368588709906,0.198474128775727,0.8095762853872865,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.6508129902846863,82.14185679501014,-0.0493155435038739
8.0013,-4.645658903247024,-1.2662893200010736,6.390239933111501,7.955936043898292,-4.61932,-1.25911,6.35401,-0.5867321806285088,-0.1492177176963967,0.7959142045097531,8.14835e-05,0.00122949,0.999999,100,10,0.6,-0.586814,-0.150447,-0.204085,0.795682329557772,0.6506631320505147,0.6446953913217844,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.650282078124839,83.6097600668885,-0.0453639561017089
8.0013,3.3399212854611755,3.502583373435882,6.371627516502663,7.973651058762228,3.32838,3.49048,6.34961,0.4247792400315015,0.441822509193663,0.7901616718166451,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.424698,0.440593,-0.209837,0.790738900965942,0.6587811633138357,0.9043973321787157,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-0.0592418512347791,83.62837248349734,-0.0276489412377722
8.0013,2.6381363923115324,-4.283951039175065,6.221639780597426,7.973225950448162,2.62888,-4.26892,6.19981,0.3320078106914818,-0.5307798773129516,0.7797714636221931,8.14835e-05,0.00122949,0.999999,100,10,0.6,0.331926,-0.532009,-0.220228,0.7791453361203593,0.6774955578034147,0.459399636387163,[8.1483500e-05 5.0106436e-01 9.9999900e-01],0.5010643604284422,-1.0318442377413937,83.77836021940257,-0.0280740495518383
