Rnom,Xnom,Ynom,Znom,R,X,Y,Z,Nx,Ny,Nz,I,J,K,LateralDensity,DirectionDensity,ExposureTime,oriX,oriY,oriZ,Inc,ang,ViewAng,Rs,PointDev
8.0013,-5.186011976763727,-3.67241591838288,4.862041010652957,7.947929358952557,-5.15142,-3.64792,4.82961,-0.6398317179501745,-0.4486492773723953,0.6239624977658159,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.639913,-0.449879,1.623961,2.245371723626765,2.245371289436424,-0.7588815055365098,85.13795898934704,-0.0533706410474437
8.0013,1.8650989556713928,-1.576666953637934,7.619470381388694,8.002076682643075,1.86528,-1.57682,7.62021,0.2340965238818131,-0.2020818101729922,0.9509793686004226,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.234015,-0.203311,1.950978,2.827924065088215,2.827923489864037,-0.9407299055419658,82.3805296186113,0.0007766826430746
8.0013,-1.9939431749301917,-1.8654938152513565,7.520965704642474,7.9795378705097955,-1.98852,-1.86042,7.50051,-0.2442401767222787,-0.2061068784717052,0.947558278271748,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.244322,-0.207336,1.947557,2.8171572843094435,2.817157249664465,-0.9395092703241428,82.47903429535752,-0.021762129490205
8.0013,0.4826764542574799,3.2142139626602795,7.31140572891049,7.966613505345668,0.480584,3.20028,7.27971,0.0929291814938146,0.4218769921396829,0.9018780243082006,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.092848,0.420648,1.901877,2.6936754050336846,2.693675422744979,-0.6173233445463308,82.68859427108951,-0.0346864946543323
8.0013,5.47018941975654,2.8967993509183554,5.070146242713579,7.97583507006633,5.45278,2.88758,5.05401,0.6829099462076356,0.3554925083635701,0.6381685371969236,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.682828,0.354263,1.638168,2.26227295600713,2.2622731364355677,-0.4112505321593756,84.92985375728642,-0.02546492993367
8.0013,-1.7150282956757408,1.7157877236989028,7.6246673450214,8.007326322618557,-1.71632,1.71708,7.63041,-0.2208341797240235,0.2102975960929671,0.9523692488437124,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.220916,0.209068,1.952368,2.83091936435943,2.8309191458633456,-0.7572699748117384,82.37533265497859,0.0060263226185561
8.0013,-2.4158191628428924,4.723216098133938,5.989645160839621,7.96718871678712,-2.40552,4.70308,5.96411,-0.2968022784412323,0.5996254919506167,0.7432076943325292,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.296884,0.598396,1.743207,2.4075823697335714,2.4075829936923827,-0.3958662597732865,84.01035483916039,-0.03411128321288
8.0013,-4.27653374841166,-1.5643213826149982,6.579130596103836,7.97208702226713,-4.26092,-1.55861,6.55511,-0.5372302512631671,-0.2034266001082911,0.8185360563201206,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.537312,-0.204656,1.818535,2.530164991011228,2.530165035989349,-0.8229781088785075,83.42086940389616,-0.02921297773287
8.0013,0.0554537790892999,-0.0772124155587148,8.000735266915681,7.991174018390855,0.0553836,-0.0771147,7.99061,0.0028984022304428,-0.0201242279800733,0.9997932859910176,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.002817,-0.021354,1.999792,3.122462980092632,3.1224632620744166,-0.9028761795201165,81.99926473308432,-0.0101259816091454
8.0013,-5.2306343344962265,1.14126709120408,5.946324543390127,7.931982674142701,-5.18532,1.13138,5.89481,-0.6467383194111643,0.1439440568919885,0.7490057774748461,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.64682,0.142715,1.749005,2.417168149251218,2.4171685394464397,-0.6052094243414587,84.05367545660987,-0.0693173258572992
8.0013,-2.487556372349444,3.236822891830789,6.8815581485085096,7.932992568671673,-2.46632,3.20919,6.82281,-0.3098818622139863,0.4048697654309908,0.8602637412506973,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.309963,0.40364,1.860263,2.605655701290333,3.677529706303334,-0.5877664173695867,83.1184418514915,-0.0683074313283276
8.0013,-1.759530157377619,-0.0719003587619114,7.805106383239668,7.969421960291299,-1.75252,-0.0716139,7.77401,-0.2306490377747014,-0.0138753156393706,0.9729380745913444,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.230731,-0.015105,1.972937,2.908571466293863,2.9085715025288383,-0.8760840409045209,82.19489361676034,-0.0318780397087019
8.0013,0.6081226296050452,6.199490493068876,5.021683600517946,7.992897308157787,0.607484,6.19298,5.01641,0.0899775749622422,0.7769516496455168,0.6230972396962005,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.089896,0.775722,1.623096,2.2422620439828203,2.242261609212674,-0.209016109074357,84.97831639948205,-0.008402691842213
8.0013,2.305865826558504,-1.5871517883273332,7.495647649184093,7.9572804812259825,2.29318,-1.57842,7.45441,0.2825120298076707,-0.1982344854102312,0.9385574259511724,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.282431,-0.199464,1.938556,2.78986069883341,2.7898608352481764,-0.9278970841637746,82.5043523508159,-0.0440195187740179
8.0013,-1.9132450918883983,-0.6700117893876641,7.740244124731888,7.979866573670828,-1.90812,-0.668217,7.71951,-0.2423882514468931,-0.092480832130509,0.965761477409907,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.24247,-0.09371,1.96576,2.87967109592262,2.879671142224788,-0.904881998736352,82.25975587526811,-0.0214334263291728
8.0013,-2.578067161014697,-0.0696591250660399,7.57426689585155,7.962048218294258,-2.56542,-0.0693174,7.53711,-0.3253898528585124,-0.0082432474339755,0.9455440193499496,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.325471,-0.009473,1.945543,2.8101686634815666,3.4730167841012536,-0.8490763697963383,82.42573310414845,-0.0392517817057429
8.0013,-3.059383397451765,-5.168362054607011,5.28668219111901,7.972888620732137,-3.04852,-5.15001,5.26791,-0.3819779049670098,-0.6346093051116086,0.6718362225890885,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.382059,-0.635839,1.671835,2.308576640676508,2.308576618322151,-0.8849694901054748,84.71331780888099,-0.0284113792678635
8.0013,2.665594510427439,-4.555868095042007,6.013274773079761,8.02316881293794,2.67288,-4.56832,6.02971,0.3375983496097592,-0.5620213881304137,0.7550889441812332,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.337517,-0.563251,1.755088,2.427597816722529,2.427598240591592,-0.9268312593454296,83.98672522692024,0.0218688129379387
8.0013,-5.73492407101907,4.727193272501418,2.963965477879832,7.971995362072158,-5.71392,4.70988,2.95311,-0.6963184406468412,0.5921960990803351,0.4055174588709906,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.6964,0.590967,1.405516,1.987606502398174,1.9876062448723808,-0.0973129260461481,87.03603452212016,-0.0293046379278427
8.0013,-1.2964799981980109,-1.571784599199028,7.73753413420537,7.975009178985314,-1.29222,-1.56662,7.71211,-0.2066576483242763,-0.1896000832504122,0.9598668786975184,8.14835e-05,0.00122949,-0.999999,100,10,0.6,-0.206739,-0.19083,1.959866,2.8582134848232315,2.8582133232188864,-0.9431163554437684,82.26246586579462,-0.0262908210146868
8.0013,4.935597892957104,4.102597458842448,4.778008917921448,7.964795320967137,4.91308,4.08388,4.75621,0.6188207610108309,0.5119431140869605,0.5957978798895825,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.618739,0.510714,1.595797,2.208208270651298,2.208208300999796,-0.3032879127082052,85.22199108207855,-0.0365046790328635
8.0013,3.1200590609522574,1.405926043807215,7.232524117174745,7.978273461401282,3.11108,1.40188,7.21171,0.3907572061269152,0.1868651207887479,0.9013269287514348,8.14835e-05,0.00122949,-0.999999,100,10,0.6,0.390676,0.185636,1.901326,2.693014521341535,2.6930147668283877,-0.7220884001973432,82.76747588282525,-0.0230265385987182
